WARD,PROJECT
IKPE NSU WARD,Renovation of primary schools ten thousand gallons solar water borehole
UMUEZE 1 WARD,Water borehole of 3000 gallon capacity with power generating plant
IHITTE NSU WARD,Solar Powered Street Light
UMUEZE 2/UMUELEKE WARD,Water borehole of Three thousand (3000) gallons capacity with power generating plant
UMUNUMO WARD,Training of 60 youth in different skills at Mbara Ozioma College of Technology
AGBAJA WARD,Construction of one line open market & Water borehole of Three Thousand (3000) gallons capacity with power generating plant
UMUKABIA WARD,Water borehole of Three Thousand (3000) gallons capacity with power generating plant
NZEREM/IKPEM WARD,Renovation of staff office building of community secondary school Dioka-Nzerem
UMUALUMAKU/UMUIHIM WARD,Solar Powered borehole of 3000 gallons capacity with generating set
UMUEZEALA WARD,Water borehole of Three Thousand (3000) gallons capacity with power generating plant
UMUEZEALA WARD,Public Toilet
UMUEZEALA WARD,Renovation of 4 Block Classroom
UMUNAKANU WARD,Water borehole of 4000 gallon capacity with power generating plant
UMUNAKANU WARD,Rehabilitation of Water borehole of 10000 gallon capacity
